,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint George,40,GR,1574712640,93,39.45,22.34,53.6,3.62
1,Airai,18,TL,1574712641,93,-8.93,125.41,65.23,2.89
2,Stepnyak,29,KZ,1574712642,92,52.83,70.79,2.86,4.63
3,Karpogory,100,RU,1574712643,92,64.0,44.44,23.29,7.27
4,Chicama,75,PE,1574712644,77,-7.84,-79.15,69.8,14.99
5,Do Gonbadan,40,IR,1574712645,62,30.36,50.8,57.2,1.21
6,Port Pirie,32,AU,1574712646,54,-33.18,138.01,57.2,19.46
7,Kidal,0,ML,1574712647,12,18.44,1.41,77.5,11.99
8,Sinnamary,87,GF,1574712649,81,5.38,-52.96,82.6,12.86
9,Kodiak,1,US,1574712650,45,39.95,-94.76,57.2,12.75
10,Bambous Virieux,75,MU,1574712651,88,-20.34,57.76,78.8,11.41
11,Bethel,75,US,1574712525,85,60.79,-161.76,24.8,14.99
12,Puerto Leguizamo,22,CO,1574712653,75,-0.19,-74.78,84.04,3.91
13,Boca do Acre,63,BR,1574712654,44,-8.76,-67.39,92.61,3.6
14,Sarangani,97,PH,1574712655,75,5.4,125.46,81.48,3.4
15,Provideniya,90,RU,1574712656,86,64.42,-173.23,30.2,20.13
16,Bredasdorp,0,ZA,1574712657,72,-34.53,20.04,64.4,12.75
17,Vila Franca do Campo,75,PT,1574712658,72,37.72,-25.43,66.2,20.8
18,Cayenne,72,GF,1574712659,83,4.94,-52.33,80.6,12.75
19,Clyde River,90,CA,1574712660,92,70.47,-68.59,15.8,8.05
20,Cape Town,0,ZA,1574712429,77,-33.93,18.42,66.99,12.75
21,Tiksi,17,RU,1574712662,90,71.64,128.87,-30.46,8.57
22,Kollo,0,NE,1574712664,13,13.34,2.32,91.4,4.7
23,Puerto Ayora,20,EC,1574712665,48,-0.74,-90.35,86.0,17.22
24,Partinico,20,IT,1574712666,93,38.04,13.12,59.0,6.93
25,Hithadhoo,81,MV,1574712668,80,-0.6,73.08,83.01,15.68
26,Chuy,100,UY,1574712669,69,-33.69,-53.46,67.82,14.47
27,Shuangcheng,2,CN,1574712670,66,45.37,126.3,19.99,11.18
28,Buraydah,0,SA,1574712671,88,26.33,43.97,64.4,5.82
29,Mahebourg,75,MU,1574712672,88,-20.41,57.7,78.8,11.41
30,Hilo,90,US,1574712673,83,19.71,-155.08,79.0,7.94
31,Komsomolskiy,100,RU,1574712674,93,67.55,63.78,12.04,16.02
32,Hobart,75,AU,1574712431,93,-42.88,147.33,53.01,8.05
33,Mataura,45,NZ,1574712676,62,-46.19,168.86,64.0,8.01
34,Guaruja,75,BR,1574712677,64,-23.99,-46.26,73.4,8.05
35,Punta Arenas,90,CL,1574712678,87,-53.16,-70.91,46.4,13.87
36,Saskylakh,94,RU,1574712680,96,71.97,114.09,-14.98,10.02
37,Yarkovo,40,RU,1574712681,84,54.81,82.6,5.0,4.47
38,Diffa,39,NE,1574712682,20,13.32,12.61,78.8,4.85
39,Lyndon,1,US,1574712683,44,38.61,-95.68,60.8,11.41
40,Ushuaia,75,AR,1574712684,58,-54.81,-68.31,55.4,11.41
41,Evensk,100,RU,1574712685,86,61.92,159.24,-6.0,15.52
42,Ewa Beach,75,US,1574712555,65,21.32,-158.01,84.0,13.87
43,Broome,90,GB,1574712687,87,52.47,1.45,51.8,10.29
44,La Ronge,90,CA,1574712688,73,55.1,-105.3,23.0,12.75
45,Olbia,40,IT,1574712689,93,40.92,9.49,57.2,6.93
46,Kingaroy,90,AU,1574712690,77,-26.54,151.84,70.0,6.93
47,Hasaki,75,JP,1574712691,93,35.73,140.83,46.99,16.11
48,Rikitea,98,PF,1574712692,70,-23.12,-134.97,72.14,14.32
49,Xacmaz,33,AZ,1574712693,79,41.46,48.81,49.41,14.72
50,Albany,90,US,1574712613,61,42.65,-73.75,48.2,4.7
51,Saint-Philippe,75,CA,1574712695,90,45.36,-73.48,43.0,8.05
52,Busselton,1,AU,1574712697,46,-33.64,115.35,55.99,9.8
53,Icod de los Vinos,75,ES,1574712698,87,28.37,-16.71,69.8,3.36
54,Vaini,1,IN,1574712699,85,15.34,74.49,66.87,8.19
55,Port Hedland,0,AU,1574712700,94,-20.31,118.58,78.8,5.82
56,Adrar,0,DZ,1574712701,29,27.87,-0.29,66.2,6.93
57,Bathsheba,40,BB,1574712702,79,13.22,-59.52,84.2,18.34
58,Guerrero Negro,100,MX,1574712703,67,27.97,-114.04,66.13,8.7
59,Vardo,1,US,1574712704,72,39.62,-77.74,57.2,6.93
60,Cherskiy,100,RU,1574712706,94,68.75,161.3,-8.48,5.88
61,Bonga,48,ET,1574712707,98,7.26,36.25,56.21,1.07
62,Severo-Kurilsk,87,RU,1574712708,78,50.68,156.12,18.91,31.07
63,Palana,100,RU,1574712709,94,59.08,159.95,14.95,8.99
64,Port Macquarie,90,AU,1574712518,100,-31.43,152.91,66.2,6.93
65,Jamestown,16,AU,1574712711,58,-33.21,138.6,47.48,16.96
66,Dikson,100,RU,1574712712,85,73.51,80.55,3.88,7.9
67,Constitucion,90,MX,1574712713,16,23.99,-104.67,73.4,6.08
68,Imbituba,20,BR,1574712714,50,-28.24,-48.67,77.0,17.22
69,Bluff,7,AU,1574712715,72,-23.58,149.07,73.29,10.2
70,Butaritari,100,KI,1574712716,74,3.07,172.79,84.2,7.14
71,Alofi,90,NU,1574712717,94,-19.06,-169.92,73.4,6.93
72,Castro,75,CL,1574712718,76,-42.48,-73.76,51.8,12.75
73,Kapaa,40,US,1574712719,78,22.08,-159.32,80.6,3.36
74,Port Alfred,36,ZA,1574712720,87,-33.59,26.89,66.99,5.99
75,Lebu,62,ET,1574712722,92,8.96,38.73,54.14,1.54
76,Mizan Teferi,94,ET,1574712723,96,6.99,35.58,61.23,2.55
77,Nusaybin,12,TR,1574712724,30,37.08,41.21,44.6,9.17
78,Atuona,1,PF,1574712725,73,-9.8,-139.03,79.93,15.84
79,College,90,US,1574712726,92,64.86,-147.8,15.8,6.93
80,Qaanaaq,100,GL,1574712729,95,77.48,-69.36,15.08,1.43
81,Kortkeros,20,RU,1574712730,92,61.81,51.56,10.4,6.71
82,Yanam,0,IN,1574712731,79,16.73,82.22,73.8,5.17
83,Banikoara,0,BJ,1574712732,18,11.3,2.44,81.73,2.17
84,Alice Springs,100,AU,1574712734,29,-23.7,133.88,78.8,8.05
85,Oslob,74,PH,1574712735,76,9.52,123.43,81.9,8.63
86,Chokurdakh,100,RU,1574712736,99,70.62,147.9,-31.13,6.6
87,Gat,0,SN,1574712737,57,14.69,-16.54,93.2,13.87
88,Norman Wells,90,CA,1574712738,92,65.28,-126.83,12.2,13.87
89,Oistins,40,BB,1574712739,79,13.07,-59.53,84.2,18.34
90,Port Hardy,40,CA,1574712740,81,50.7,-127.42,42.8,10.29
91,Luderitz,0,NA,1574712741,60,-26.65,15.16,66.27,27.67
92,Rivadavia,0,AR,1574712742,21,-31.53,-68.59,84.76,15.84
93,Cidreira,0,BR,1574712743,73,-30.17,-50.22,69.12,28.83
94,Ambilobe,95,MG,1574712744,83,-13.19,49.05,76.89,7.25
95,Kaitangata,98,NZ,1574712745,72,-46.28,169.85,55.2,8.55
96,Mana,0,NG,1574712746,19,13.03,5.27,80.8,5.46
97,Kingisepp,100,RU,1574712747,65,59.38,28.61,26.01,5.59
98,Lyuban,100,BY,1574712749,56,52.8,28.0,27.86,8.34
99,Zanesville,1,US,1574712487,58,39.94,-82.01,55.99,6.93
100,Aswan,0,EG,1574712751,28,24.09,32.9,67.42,1.99
101,Hattiesburg,1,US,1574712752,48,31.33,-89.29,66.99,8.05
102,Murray Bridge,5,AU,1574712753,56,-35.12,139.28,55.99,5.01
103,Mazamari,63,PE,1574712754,45,-11.33,-74.53,79.2,3.24
104,Ancud,75,CL,1574712755,76,-41.87,-73.83,51.8,12.75
105,Oromocto,40,CA,1574712757,83,45.85,-66.47,37.0,11.41
106,Maku,0,IR,1574712759,73,39.29,44.45,27.86,1.12
107,Port Stanley,75,CA,1574712760,81,42.67,-81.22,45.0,9.17
108,Clifton,75,US,1574712742,53,40.86,-74.16,54.0,5.77
109,Khatanga,100,RU,1574712762,97,71.98,102.47,-6.93,7.23
110,Krasnaya Gora,90,RU,1574712763,79,53.01,31.6,28.4,11.18
111,Srednekolymsk,100,RU,1574712764,97,67.46,153.71,-19.84,11.9
112,Newcastle,0,AU,1574712765,93,-32.93,151.78,73.0,3.36
113,Beruwala,18,LK,1574712766,87,6.48,79.98,76.98,4.52
114,Havre-Saint-Pierre,90,CA,1574712768,100,50.23,-63.6,33.8,10.29
115,Thompson,90,CA,1574712769,85,55.74,-97.86,21.2,6.93
116,Hofn,61,IS,1574712770,60,64.25,-15.21,39.2,13.87
117,Mandera,100,ET,1574712771,85,3.94,41.86,73.67,16.71
118,Sabang,83,PH,1574712772,97,13.8,121.11,75.99,7.56
119,Inhambane,20,MZ,1574712774,88,-23.87,35.38,78.8,7.56
120,Saint-Prosper,100,CA,1574712775,90,46.21,-70.48,34.0,9.98
121,Barrow,100,AR,1574712776,83,-38.31,-60.23,61.75,8.77
122,Ribeira Grande,40,PT,1574712778,68,38.52,-28.7,66.2,26.4
123,Coahuayana,40,MX,1574712779,59,18.62,-100.35,86.32,1.32
124,Ayan,0,IR,1574712780,59,38.23,44.7,25.93,2.68
125,Torbay,90,CA,1574712781,100,47.66,-52.73,39.99,21.92
126,Rio Grande,40,BR,1574712782,61,-32.03,-52.1,77.0,18.34
127,Pevek,100,RU,1574712784,75,69.7,170.27,2.84,4.23
128,Yerbogachen,83,RU,1574712785,94,61.28,108.01,-18.78,9.82
129,Kieta,68,PG,1574712786,71,-6.22,155.63,80.38,10.92
130,Pingliang,71,CN,1574712787,93,35.54,106.68,24.93,1.32
131,Faanui,100,PF,1574712788,76,-16.48,-151.75,82.09,9.69
132,Puerto Carreno,40,CO,1574712790,52,6.19,-67.49,93.2,8.05
133,Tonantins,100,BR,1574712794,92,-2.86,-67.77,82.85,0.49
134,Victoria,75,BN,1574712729,88,5.28,115.24,77.0,3.36
135,Itarema,0,BR,1574712796,75,-2.92,-39.92,79.21,8.55
136,Tasiilaq,0,GL,1574712797,63,65.61,-37.64,28.4,4.7
137,Troutdale,90,US,1574712582,70,45.53,-122.39,50.0,12.75
138,Roros,75,NO,1574712799,100,62.57,11.38,30.2,3.36
139,Aklavik,90,CA,1574712800,84,68.22,-135.01,8.6,5.82
140,Santa Isabel do Rio Negro,100,BR,1574712801,55,-0.41,-65.02,91.67,2.64
141,Agadez,0,NE,1574712802,15,16.97,7.99,81.1,5.19
142,Elliot Lake,40,CA,1574712804,81,46.37,-82.65,42.8,11.41
143,Santa Isabel,20,MX,1574712805,26,32.63,-115.58,71.6,10.29
144,Juneau,75,US,1574712806,96,58.3,-134.42,37.0,6.93
145,Ciudad del Maiz,1,MX,1574712807,37,22.4,-99.6,81.0,3.0
146,Husavik,100,CA,1574712808,93,50.56,-96.99,32.0,5.99
147,Carnarvon,0,ZA,1574712809,13,-30.97,22.13,66.06,11.63
148,Makaha,75,US,1574712810,65,21.47,-158.22,84.0,13.87
149,Sulangan,100,PH,1574712811,75,11.14,123.72,83.03,15.35
150,Osoyoos,90,CA,1574712812,80,49.03,-119.47,42.8,4.65
151,San Patricio,0,PY,1574712814,40,-26.98,-56.83,94.44,5.55
152,Upernavik,100,GL,1574712815,73,72.79,-56.15,31.82,12.82
153,Touros,20,BR,1574712816,58,-5.2,-35.46,86.0,18.34
154,Kloulklubed,18,PW,1574712818,76,7.04,134.26,83.14,6.89
155,Haines Junction,100,CA,1574712819,95,60.75,-137.51,7.83,4.72
156,Arraial do Cabo,40,BR,1574712820,44,-22.97,-42.02,80.6,9.17
157,Wieliczka,90,PL,1574712821,93,49.98,20.06,37.99,8.05
158,Saint-Michel-des-Saints,100,CA,1574712822,7,46.68,-73.92,37.99,6.53
159,Vostok,4,RU,1574712824,94,46.45,135.83,-3.71,4.99
160,Bisira,100,PA,1574712825,76,8.52,-81.71,74.41,10.09
161,San Quintin,62,PH,1574712826,79,17.54,120.52,72.68,4.97
162,Kuito,100,AO,1574712827,90,-12.38,16.94,62.67,2.53
163,Isabela,41,PH,1574712828,87,10.2,122.99,71.22,4.5
164,Avarua,100,CK,1574712754,83,-21.21,-159.78,77.0,11.41
165,Esperance,40,AU,1574712830,81,-33.86,121.89,48.2,3.36
166,New Norfolk,75,AU,1574712831,93,-42.78,147.06,54.0,8.05
167,Hamilton,90,CA,1574712686,81,43.26,-79.87,48.0,9.17
168,Kampot,20,KH,1574712833,88,10.62,104.18,75.2,5.39
169,Lagoa,75,PT,1574712834,100,37.14,-8.45,61.0,6.93
170,Acapulco,5,MX,1574712835,74,16.86,-99.88,86.0,8.05
171,Ilhabela,45,BR,1574712577,70,-23.78,-45.36,69.98,17.22
172,Nome,90,US,1574712840,69,30.04,-94.42,78.01,14.99
173,Nyagan,100,RU,1574712842,96,62.14,65.43,5.11,9.73
174,Pak Thong Chai,19,TH,1574712843,78,14.73,102.02,63.59,2.75
175,Taveta,75,TZ,1574712844,94,-3.4,37.68,69.8,3.96
176,Buliwao,89,PH,1574712845,95,16.48,121.23,63.28,5.91
177,Piacabucu,8,BR,1574712846,80,-10.41,-36.43,78.66,8.88
178,Karratha,0,AU,1574712847,65,-20.74,116.85,80.55,7.14
179,Vanimo,100,PG,1574712848,80,-2.67,141.3,83.53,19.06
180,Kamenka,100,MD,1574712849,91,48.03,28.7,30.99,1.99
181,Daud Khel,0,PK,1574712850,51,32.58,71.54,62.64,4.85
182,Sasina,90,BA,1574712851,100,44.8,16.74,42.8,3.36
183,Mayo,90,CA,1574712852,85,63.59,-135.9,19.4,5.82
184,Burns Lake,81,CA,1574712853,62,54.23,-125.76,30.09,5.41
185,Nikolskoye,40,RU,1574712854,85,59.7,30.79,24.01,2.24
186,Tessalit,0,ML,1574712856,13,20.2,1.01,72.95,10.54
187,Linkou,41,CN,1574712857,90,45.29,130.27,4.71,3.89
188,Tambovka,0,RU,1574712858,60,47.32,47.38,23.13,9.08
189,Saint-Joseph,27,FR,1574712859,93,43.56,6.97,57.99,3.36
190,Lompoc,1,US,1574712860,68,34.64,-120.46,70.0,5.82
191,Coihaique,75,CL,1574712861,58,-45.58,-72.07,53.6,8.05
192,Taoudenni,0,ML,1574712862,35,22.68,-3.98,71.56,5.41
193,Chumikan,0,RU,1574712863,71,54.72,135.31,-1.79,15.01
194,Raudeberg,75,NO,1574712864,87,61.99,5.14,42.8,4.7
195,Porbandar,0,IN,1574712716,63,21.64,69.61,79.99,11.52
196,Kaeo,100,NZ,1574712867,100,-35.1,173.78,64.99,7.52
197,Longyearbyen,75,NO,1574712868,72,78.22,15.63,15.8,13.87
198,Hermanus,0,ZA,1574712869,89,-34.42,19.24,62.01,3.0
199,Beaverlodge,20,CA,1574712870,48,55.21,-119.43,32.0,11.41
200,Mehamn,75,NO,1574712871,80,71.03,27.85,33.8,4.7
201,Bandarbeyla,100,SO,1574712872,77,9.49,50.81,80.33,20.36
202,Pilar,75,AR,1574712873,82,-34.46,-58.91,78.01,10.29
203,Yellowknife,75,CA,1574712694,77,62.45,-114.38,1.99,9.17
204,Praia da Vitoria,20,PT,1574712875,82,38.73,-27.07,62.6,22.17
205,Pavlovka,100,RU,1574712876,43,52.69,47.13,19.56,2.73
206,Ilulissat,40,GL,1574712877,42,69.22,-51.1,30.2,4.7
207,Punta Cardon,100,VE,1574712878,72,11.61,-70.22,84.56,28.16
208,Aras,20,ES,1574712879,93,42.56,-2.36,52.0,3.36
209,Flinders,0,AU,1574712880,100,-34.58,150.85,75.0,6.93
210,Shelburne,75,CA,1574712882,75,44.08,-80.2,46.4,3.36
211,Marzuq,2,YE,1574712883,67,14.4,46.47,67.91,4.18
212,Kamaishi,7,JP,1574712884,69,39.28,141.86,34.61,5.95
213,Aksu,90,KZ,1574712885,92,52.04,76.93,8.6,4.47
214,Faya,11,SA,1574712886,81,18.39,42.45,57.2,8.19
215,Piedra Gorda,96,EC,1574712887,67,-0.75,-80.04,80.82,4.92
216,Teya,75,MX,1574712888,51,21.05,-89.07,88.0,6.93
217,Baculin,48,PH,1574712889,86,7.45,126.58,71.65,4.23
218,Dunedin,47,NZ,1574712592,67,-45.87,170.5,64.99,1.99
219,Seoul,75,KR,1574712789,100,37.57,126.98,35.6,2.24
220,Norman,1,US,1574712892,36,35.22,-97.44,66.99,4.7
221,Georgetown,40,GY,1574712816,66,6.8,-58.16,89.6,11.41
222,Sioux Lookout,90,CA,1574712895,86,50.1,-91.92,26.6,14.99
223,Batticaloa,24,LK,1574712896,94,7.71,81.69,73.81,0.58
224,Bilma,12,NE,1574712897,18,18.69,12.92,78.33,7.23
225,George Town,20,MY,1574712849,83,5.42,100.33,78.8,4.7
226,Sadiqabad,0,PK,1574712899,33,28.31,70.13,65.88,6.98
227,Gallup,1,US,1574712900,25,35.53,-108.74,51.8,20.8
228,Blagoyevo,100,RU,1574712901,93,63.37,47.92,14.34,6.64
229,Coquimbo,0,CL,1574712903,49,-29.95,-71.34,71.6,16.11
230,Miyang,100,CN,1574712904,96,24.4,103.44,51.19,2.98
231,Geraldton,90,CA,1574712905,85,49.72,-86.95,24.8,9.17
232,Carutapera,9,BR,1574712906,77,-1.2,-46.02,82.63,16.78
233,Mount Gambier,75,AU,1574712907,93,-37.83,140.78,46.4,8.05
234,Kibre Mengist,100,ET,1574712908,96,5.87,38.99,59.72,0.51
235,Mar del Plata,90,AR,1574712909,24,-46.43,-67.52,68.65,20.47
236,Nanortalik,0,GL,1574712910,51,60.14,-45.24,34.57,5.88
237,Champaign,1,US,1574712911,58,40.12,-88.24,60.01,18.34
238,Ostrovnoy,88,RU,1574712912,95,68.05,39.51,25.84,13.91
239,Porto Velho,40,BR,1574712913,52,-8.75,-63.87,91.4,4.7
240,Sisimiut,32,GL,1574712914,69,66.94,-53.67,27.84,8.97
241,Kokoda,79,PG,1574712915,86,-8.88,147.74,61.36,1.12
242,Mahon,40,IE,1574712916,100,51.89,-8.4,48.99,8.05
243,Balabac,75,PH,1574712917,82,7.99,117.06,80.28,6.33
244,East London,34,ZA,1574712918,57,-33.02,27.91,68.18,12.62
245,Nuuk,40,GL,1574712919,65,64.17,-51.74,32.0,1.12
246,Belomorsk,100,RU,1574712921,92,64.52,34.76,29.32,10.89
247,Leningradskiy,100,RU,1574712922,79,69.38,178.42,3.02,13.44
248,Egvekinot,100,RU,1574712923,96,66.32,-179.17,6.48,7.76
249,Padang,100,ID,1574712924,96,-0.92,100.36,68.25,3.56
250,Iquique,97,CL,1574712925,53,-20.22,-70.14,73.4,19.46
251,Barberton,71,SZ,1574712926,94,-25.78,31.05,75.2,5.82
252,Molokovo,71,RU,1574712927,69,58.16,36.77,22.69,9.37
253,Linxia,0,CN,1574712928,66,35.6,103.21,25.52,0.74
254,Pekan,20,MY,1574712929,88,3.49,103.39,75.2,2.24
255,Codrington,2,AU,1574712930,93,-28.95,153.24,71.6,4.7
256,Severo-Yeniseyskiy,100,RU,1574712931,90,60.37,93.04,-4.27,8.08
257,Alekseyevka,100,RU,1574712932,85,53.25,50.49,12.2,4.47
258,Los Llanos de Aridane,20,ES,1574712877,63,28.66,-17.92,66.2,8.05
259,High Level,90,CA,1574712934,92,58.52,-117.13,17.6,9.17
260,Ulety,4,RU,1574712935,60,51.36,112.48,1.36,12.08
261,Baraboo,90,US,1574712936,65,43.47,-89.74,51.8,7.85
262,Klaksvik,100,FO,1574712938,87,62.23,-6.59,46.4,13.87
263,Santa Rosa,75,AR,1574712939,63,-36.62,-64.29,69.73,9.53
264,Nagyrabe,0,HU,1574712940,93,47.2,21.33,41.0,5.82
265,Beringovskiy,100,RU,1574712941,97,63.05,179.32,32.83,28.54
266,Harnosand,90,SE,1574712942,76,62.63,17.94,34.0,1.12
267,Huilong,100,CN,1574712943,85,31.15,106.5,46.85,3.04
268,Ploemeur,90,FR,1574712944,93,47.73,-3.43,54.0,8.05
269,Fuyang,87,CN,1574712945,52,32.89,115.81,39.76,8.32
270,Ngunguru,100,NZ,1574712946,84,-35.62,174.5,64.99,3.0
271,Wahiawa,20,US,1574712947,69,21.5,-158.02,84.2,16.11
272,Cap Malheureux,75,MU,1574712948,88,-19.98,57.61,78.01,6.93
273,Funehiki,94,JP,1574712949,74,37.43,140.58,44.01,3.78
274,Rio Brilhante,95,BR,1574712950,48,-21.8,-54.54,88.38,4.85
275,Corning,1,US,1574712709,53,42.14,-77.05,51.8,4.7
276,Ban Tak,1,TH,1574712953,89,17.04,99.08,64.94,2.64
277,Ribeira Brava,75,PT,1574712954,72,32.65,-17.07,68.0,3.36
278,Sao Filipe,0,CV,1574712955,77,14.9,-24.5,75.4,14.63
279,Tigil,35,RU,1574712956,77,57.8,158.67,17.15,12.55
280,Ust-Nera,97,RU,1574712957,95,64.57,143.24,-34.64,1.41
281,Tuktoyaktuk,90,CA,1574712958,77,69.44,-133.03,6.8,19.46
282,Mackenzie,20,CA,1574712959,92,55.34,-123.09,23.0,2.24
283,San Andres,100,PH,1574712960,88,13.32,122.68,77.31,12.66
284,Ixtapa,40,MX,1574712961,58,20.71,-105.21,86.0,6.93
285,Whitehorse,75,CA,1574712962,85,60.72,-135.06,17.01,0.81
