,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
286,Namestovo,75,SK,1574712963,100,49.41,19.48,39.99,1.12
287,Koslan,99,RU,1574712964,92,63.46,48.9,15.53,7.92
288,Jasper,20,US,1574712726,41,33.83,-87.28,64.99,4.7
289,Pitimbu,20,BR,1574712967,70,-7.47,-34.81,84.2,12.75
290,Walvis Bay,0,NA,1574712968,82,-22.95,14.51,61.0,9.17
291,Luchegorsk,0,RU,1574712969,90,46.44,134.3,7.21,4.74
292,Quatre Cocos,75,MU,1574712970,88,-20.21,57.76,78.01,6.93
293,Kudahuvadhoo,67,MV,1574712971,76,2.67,72.89,83.48,11.54
294,Kununurra,0,AU,1574712972,94,-15.77,128.74,71.6,1.95
295,Bubaque,0,GW,1574712973,74,11.28,-15.83,82.85,12.33
296,Lashio,1,MM,1574712974,93,22.93,97.75,58.39,2.26
297,Buchanan,20,LR,1574712975,94,5.88,-10.05,80.6,1.81
298,Matara,71,BI,1574712976,92,-3.48,29.48,57.27,2.15
299,Lorengau,19,PG,1574712977,77,-2.02,147.27,82.89,14.61
300,Kamuli,100,UG,1574712978,97,0.94,33.12,64.76,2.08
301,Tiznit,3,MA,1574712979,61,29.7,-9.73,62.74,0.96
302,Beloha,20,MG,1574712981,65,-25.17,45.06,74.89,3.69
303,Fairview,20,CA,1574712982,47,56.07,-118.38,33.8,14.99
304,Serowe,19,BW,1574712983,42,-22.4,26.7,77.97,8.84
305,Broadstairs,75,GB,1574712984,100,51.36,1.44,53.6,9.17
306,Prince Rupert,40,CA,1574712767,93,54.32,-130.32,37.4,8.05
307,Daru,41,PG,1574712986,85,-9.07,143.21,75.97,4.16
308,Souillac,75,FR,1574712987,93,45.6,-0.6,53.6,8.05
309,Khilok,88,RU,1574712988,83,51.36,110.46,-0.49,12.48
310,Kavaratti,100,IN,1574712989,75,10.57,72.64,82.96,9.26
311,Mount Isa,19,AU,1574712990,37,-20.73,139.49,68.0,3.36
312,Antigonish,90,CA,1574712910,86,45.62,-61.99,39.0,25.28
313,Parana,40,BR,1574712992,55,-7.52,-72.89,91.4,4.7
314,Mahanoro,100,MG,1574712993,84,-19.9,48.8,78.13,7.56
315,Santa Flavia,90,CL,1574712994,93,-51.55,-72.35,42.8,13.87
316,Jeremie,98,HT,1574712995,82,18.65,-74.12,74.62,3.87
317,Virginia Beach,1,US,1574712997,44,36.85,-75.98,60.8,10.29
318,Filadelfia,5,PY,1574712998,22,-22.35,-60.04,104.2,16.44
319,Palu,100,ID,1574712999,97,-0.9,119.87,67.66,2.57
320,Trzebiatow,90,PL,1574713000,100,54.06,15.26,36.0,5.82
321,Victor Harbor,40,AU,1574713001,58,-35.55,138.62,55.4,19.46
322,Caravelas,100,BR,1574713002,70,-17.73,-39.27,72.81,7.47
323,Avera,1,US,1574713003,39,33.19,-82.53,64.0,3.36
324,Bagdarin,0,RU,1574713004,84,54.44,113.59,-14.64,5.44
325,Zalari,0,RU,1574713005,94,53.57,102.52,-3.06,2.84
326,Neiafu,40,TO,1574713006,69,-18.65,-173.98,78.8,2.24
327,Karakol,5,KG,1574713008,39,42.49,78.39,15.96,6.2
328,Rjukan,100,NO,1574713009,94,59.88,8.59,32.0,1.95
329,Bilibino,100,RU,1574713010,86,68.06,166.44,-4.34,3.94
330,Lang Suan,100,TH,1574713011,91,9.95,99.07,74.41,3.47
331,Hurup,100,DK,1574713012,93,56.75,8.42,43.0,3.36
332,Santa Rosalia,20,IT,1574713013,93,38.07,13.27,57.0,6.93
333,Atyrau,0,KZ,1574713014,85,47.1,51.92,12.2,8.95
334,Andra,90,RU,1574713015,98,62.52,65.89,2.17,6.91
335,Aasiaat,100,GL,1574713016,63,68.71,-52.87,21.52,13.09
336,Pisco,0,PE,1574713017,30,-13.71,-76.2,72.0,21.92
337,Tazovskiy,100,RU,1574713018,93,67.47,78.7,7.03,15.86
338,Zuenoula,0,CI,1574713019,68,7.43,-6.04,78.75,2.66
339,Umm Kaddadah,0,SD,1574713020,11,13.6,26.69,73.85,11.05
340,Bugiri,100,UG,1574713021,96,0.57,33.75,65.41,5.53
341,Pacific Grove,1,US,1574712766,51,36.62,-121.92,66.0,4.7
342,Narasannapeta,0,IN,1574713024,90,18.42,84.04,67.33,4.68
343,Bridlington,100,GB,1574713025,93,54.08,-0.19,51.01,5.82
344,Aripuana,61,BR,1574713026,55,-9.17,-60.63,90.14,2.48
345,Vestmanna,100,FO,1574713027,87,62.16,-7.17,46.4,13.87
346,Florence,1,US,1574713028,39,34.2,-79.77,64.99,5.82
347,Sorland,78,NO,1574713029,100,67.67,12.69,41.0,3.36
348,Nantucket,1,US,1574712960,53,41.28,-70.1,51.8,9.17
349,Miraflores,75,PE,1574712790,45,-16.39,-71.52,62.6,9.17
350,Dingle,100,PH,1574713032,90,11.0,122.67,74.64,7.96
351,Ternate,75,PH,1574713033,78,14.29,120.72,81.0,3.36
352,Suntar,47,RU,1574713034,90,62.16,117.65,-21.96,7.27
353,Lata,0,IN,1574713035,41,30.78,78.62,17.02,5.79
354,Alyangula,75,AU,1574713036,78,-13.85,136.42,82.4,5.82
355,Mastic Beach,1,US,1574712956,66,40.77,-72.85,51.8,10.29
356,Iqaluit,75,CA,1574713038,79,63.75,-68.52,28.4,6.93
357,Port Elizabeth,1,US,1574713039,46,39.31,-74.98,55.4,6.93
358,Qasigiannguit,40,GL,1574713040,42,68.82,-51.19,30.2,4.7
359,Puerto Maldonado,100,PE,1574713042,54,-12.59,-69.19,89.89,0.78
360,Montepuez,63,MZ,1574713043,88,-13.13,39.0,74.07,7.65
361,Gwadar,100,PK,1574713044,52,25.12,62.33,73.45,24.4
362,Tanete,3,ID,1574713045,96,-3.94,119.78,72.52,0.72
363,Hualmay,0,PE,1574713046,63,-11.1,-77.61,72.09,9.57
364,Realeza,46,BR,1574713047,55,-25.77,-53.53,84.24,3.71
365,Samoded,100,RU,1574713048,85,63.61,40.52,26.74,6.98
366,Ishigaki,100,JP,1574713049,86,24.34,124.16,71.64,28.27
367,Alta Floresta,47,BR,1574713050,66,-9.87,-56.08,86.88,1.72
368,Burayevo,100,RU,1574713051,84,55.84,55.41,16.5,8.95
369,Ilam,40,IR,1574712969,56,33.64,46.42,44.6,4.7
370,Issenye,1,CM,1574713053,14,12.51,14.37,82.36,8.97
371,Iskateley,100,RU,1574713054,95,67.68,53.15,24.85,13.35
372,Sao Borja,24,BR,1574713055,49,-28.66,-56.0,91.92,0.96
373,Moose Factory,90,CA,1574713056,86,51.26,-80.61,30.2,5.82
374,Japura,91,ID,1574713057,98,-0.42,102.29,72.75,0.31
375,Comodoro Rivadavia,40,AR,1574713059,17,-45.87,-67.48,73.4,28.86
376,Limon,1,US,1574713060,51,39.26,-103.69,41.0,13.87
377,Marawi,0,PH,1574713061,92,8.0,124.29,73.99,5.01
378,Vestmannaeyjar,0,IS,1574713062,68,63.44,-20.27,39.69,8.75
379,Key Largo,1,US,1574712969,60,25.09,-80.45,80.01,5.82
380,Sitka,0,US,1574713064,37,37.17,-99.65,57.99,5.01
381,Magadan,0,RU,1574713065,86,59.56,150.8,-3.42,10.89
382,Mincivan,29,AZ,1574713066,83,39.03,46.72,29.19,0.76
383,Innisfail,65,AU,1574713067,78,-17.52,146.03,75.97,1.34
384,Bialystok,98,PL,1574712833,100,53.13,23.15,32.0,7.7
385,Muleba,100,TZ,1574713069,96,-1.84,31.66,60.37,1.99
386,Bambanglipuro,48,ID,1574713070,89,-7.95,110.28,75.27,2.71
387,Riyadh,0,SA,1574713030,72,24.63,46.72,62.6,4.7
388,Sola,96,TZ,1574713072,91,-3.17,33.8,63.63,5.23
389,Fairbanks,90,US,1574713073,92,64.84,-147.72,14.0,5.82
390,Ulladulla,72,AU,1574713074,100,-35.36,150.48,62.6,6.93
391,Talara,40,PE,1574713076,100,-4.58,-81.27,62.6,18.34
392,Seredka,57,RU,1574713077,65,58.06,38.14,23.41,8.1
393,Ponta do Sol,40,BR,1574713078,81,-20.63,-46.0,72.66,4.05
394,Batagay-Alyta,0,RU,1574713079,72,67.8,130.41,-29.81,3.58
395,Rantepao,44,ID,1574713080,91,-2.97,119.9,61.54,2.89
396,Asmar,100,AF,1574713081,59,35.03,71.36,41.85,5.57
397,High Rock,75,BS,1574713082,60,26.63,-78.28,73.4,12.75
398,Lasa,20,CY,1574713083,55,34.92,32.53,68.0,16.11
399,Tawau,75,MY,1574713084,94,4.26,117.89,75.2,2.24
400,Gemena,100,CD,1574713085,90,3.25,19.78,71.8,1.12
401,San-Pedro,2,CI,1574713086,73,4.75,-6.64,83.44,6.85
402,Tuatapere,100,NZ,1574713087,62,-46.13,167.69,64.0,8.01
403,Hun,40,BE,1574713088,87,50.34,4.87,48.99,10.29
404,Noumea,100,NC,1574712820,64,-22.28,166.46,77.0,2.24
405,Iralaya,40,HN,1574713091,74,15.0,-83.23,84.2,5.82
406,Maple Creek,58,CA,1574713095,73,49.91,-109.46,32.41,12.41
407,Boa Vista,40,BR,1574713096,49,2.82,-60.67,93.2,5.82
408,Chapais,90,CA,1574713097,86,49.78,-74.86,30.2,5.82
409,San Francisco,40,CO,1574712956,69,1.17,-76.88,73.4,6.93
410,Kongolo,7,CD,1574713100,96,-5.39,27.0,67.55,0.85
411,Camacupa,99,AO,1574713101,94,-12.02,17.48,65.08,3.62
412,Parabel,0,RU,1574713102,97,58.71,81.5,-2.31,4.47
413,Namibe,50,AO,1574713103,78,-15.19,12.15,71.96,2.59
414,Poum,90,MK,1574713104,81,41.28,20.71,46.4,4.7
415,Bhubaneswar,0,IN,1574713105,100,20.26,85.84,68.0,2.06
416,Mwinilunga,100,ZM,1574713106,95,-11.73,24.43,62.94,0.74
417,Chateau-Thierry,90,FR,1574713107,81,49.05,3.4,50.0,11.41
418,Westport,90,US,1574712840,57,41.14,-73.36,52.0,9.17
419,Csorna,75,HU,1574713109,93,47.61,17.25,44.6,4.29
420,Eisenberg,100,DE,1574713110,93,50.97,11.9,39.99,3.36
421,Sao Joao da Barra,75,BR,1574713111,60,-21.64,-41.05,75.2,4.7
422,Norwich,90,GB,1574713112,100,52.63,1.29,51.01,9.17
423,Zalantun,95,CN,1574713113,66,48.0,122.72,8.87,3.04
424,Banepa,75,NP,1574713115,87,27.63,85.52,57.2,2.24
425,Wajir,100,KE,1574713116,91,1.75,40.07,74.39,6.91
426,Katsuura,75,JP,1574713117,58,33.93,134.5,55.4,20.8
427,Gizo,0,IL,1574713118,33,31.8,34.94,70.0,2.24
428,Kurilsk,88,RU,1574713119,74,45.23,147.88,29.07,13.85
429,Maues,40,BR,1574713120,50,-3.38,-57.72,91.38,2.59
430,Kirillov,100,RU,1574713121,92,59.86,38.38,14.0,2.24
431,Darnah,0,LY,1574713122,68,32.77,22.64,66.47,24.67
432,Awbari,0,LY,1574713123,41,26.59,12.77,61.54,3.27
433,San Ramon,75,NI,1574713124,69,12.92,-85.84,73.4,18.34
434,Charcas,4,MX,1574713125,23,23.13,-101.11,75.42,6.64
435,Bud,75,NO,1574713126,86,62.91,6.91,39.2,5.82
436,El Dorado,20,TT,1574713127,88,10.65,-61.37,82.0,10.29
437,Lagos,20,NG,1574712922,83,6.46,3.39,84.2,9.17
438,Texarkana,1,US,1574712917,56,33.44,-94.04,71.01,12.75
439,Teguise,40,ES,1574713130,72,29.06,-13.56,68.0,12.75
440,Rumoi,100,JP,1574713132,65,43.93,141.67,33.12,7.81
441,Corinto,40,CO,1574713133,49,3.17,-76.26,89.6,11.41
442,Hobyo,100,SO,1574713134,80,5.35,48.53,79.5,15.59
443,Zhoucheng,36,CN,1574713135,81,31.35,119.33,42.8,6.71
444,Panjakent,0,UZ,1574713136,92,39.5,67.61,24.8,4.7
445,Kabalo,51,CD,1574713137,92,-6.05,26.92,67.19,1.1
446,Novikovo,0,RU,1574713138,42,51.15,37.89,20.66,9.17
447,Gweta,33,BW,1574713139,30,-20.21,25.26,87.37,4.07
448,Stephenville Crossing,90,CA,1574713140,81,48.5,-58.44,42.8,25.28
449,Ust-Uda,1,RU,1574713141,96,54.17,103.03,-3.82,3.15
450,Kongoussi,0,BF,1574713142,15,13.32,-1.53,84.31,8.57
451,Marrakesh,0,MA,1574713143,55,31.63,-7.99,66.2,2.24
452,Karasburg,0,NA,1574713144,10,-28.01,18.75,68.13,2.82
453,Monrovia,20,LR,1574713145,94,6.33,-10.8,78.8,3.69
454,Pathein,0,MM,1574713146,78,16.78,94.73,72.37,4.29
455,Pandan,90,PH,1574713147,75,11.72,122.09,82.13,16.67
456,Udachnyy,100,RU,1574713149,82,66.42,112.4,-16.6,2.24
457,Kiunga,32,PG,1574713150,91,-6.12,141.3,71.38,1.28
458,Bonfim,55,GY,1574713151,47,3.36,-59.84,92.19,7.56
459,Lahaina,20,US,1574713152,58,20.87,-156.68,84.2,27.2
460,Sambava,100,MG,1574713153,95,-14.27,50.17,71.71,1.88
461,Liverpool,75,GB,1574713154,100,53.41,-2.98,52.0,10.29
462,Fortuna,75,US,1574713155,66,40.6,-124.16,55.0,13.87
463,Maldonado,90,UY,1574713156,64,-34.91,-54.96,69.8,13.87
464,Menongue,72,AO,1574713157,83,-14.66,17.68,65.32,1.23
465,Vilhena,20,BR,1574713158,70,-12.74,-60.15,84.2,6.93
466,Santa Lucia,0,IT,1574713159,87,41.98,12.66,57.2,4.7
467,Bogotol,0,RU,1574713160,92,56.21,89.53,-0.56,3.8
468,Great Bend,1,US,1574713161,32,38.36,-98.78,57.2,17.22
469,Tres Arroyos,96,AR,1574713162,80,-38.38,-60.28,63.16,9.06
470,Kirakira,1,SB,1574713163,74,-10.46,161.92,79.92,3.91
471,San Antonio,0,CL,1574713103,42,-33.58,-71.61,66.2,17.22
472,Cabo San Lucas,20,MX,1574713166,65,22.89,-109.91,84.0,5.82
473,Kulhudhuffushi,64,MV,1574713167,80,6.62,73.07,82.99,14.81
474,Namatanai,88,PG,1574713168,71,-3.66,152.44,82.78,14.43
475,Kumluca,100,TR,1574713169,86,36.37,30.29,57.72,13.67
476,Marevo,90,BA,1574713170,93,43.57,18.7,42.8,1.12
477,Inyonga,79,TZ,1574713171,97,-6.72,32.06,62.51,1.41
478,Dwarka,40,IN,1574713172,64,28.58,77.04,75.99,4.7
479,Inirida,100,CO,1574713173,88,3.87,-67.92,82.56,2.13
480,Zhuanghe,100,CN,1574713174,37,39.7,122.97,32.36,1.9
481,Teguldet,89,RU,1574713175,98,57.31,88.17,-0.62,3.6
482,Saint Anthony,1,US,1574713177,31,43.97,-111.68,35.6,9.17
483,Mojokerto,52,ID,1574713178,83,-7.46,112.43,76.77,1.34
484,Nettuno,0,IT,1574713179,87,41.46,12.66,57.2,4.7
485,Nokha,25,IN,1574713180,48,27.56,73.47,68.68,6.6
486,Mao,20,DO,1574712949,45,19.55,-71.08,87.8,6.93
487,Pangnirtung,90,CA,1574713182,74,66.15,-65.72,30.2,10.29
488,Berekua,75,DM,1574713183,84,15.23,-61.32,86.0,2.24
489,Brigantine,1,US,1574713010,58,39.41,-74.36,55.4,9.17
490,Takoradi,7,GH,1574713185,82,4.89,-1.75,81.39,9.84
491,Aylmer,75,CA,1574713186,81,42.77,-80.98,45.0,9.17
492,Pijijiapan,0,MX,1574713187,63,15.69,-93.21,84.18,5.66
493,Kokopo,100,PG,1574713188,74,-4.34,152.27,82.38,22.28
494,Khani,0,GE,1574713189,37,41.96,42.96,50.0,23.04
495,Vyshhorod,90,UA,1574713190,79,50.58,30.49,28.0,4.47
496,Zamora,40,ES,1574713191,93,41.51,-5.74,50.0,6.93
497,North Platte,1,US,1574713192,20,41.12,-100.77,53.6,10.29
498,Ratnagiri,89,IN,1574713193,64,16.98,73.3,68.85,3.02
499,Murakami,100,JP,1574713195,80,38.29,139.58,41.58,9.48
500,Nagayo,98,JP,1574713196,77,32.82,129.89,59.0,18.34
501,Smithers,75,CA,1574713197,92,54.78,-127.17,24.8,3.36
502,Urusha,100,RU,1574713198,91,54.05,122.9,-14.6,1.95
503,Birjand,64,IR,1574713199,86,32.86,59.22,33.8,4.7
504,Presidencia Roque Saenz Pena,59,AR,1574712948,28,-26.79,-60.44,100.83,7.58
505,Port Keats,4,AU,1574713201,66,-14.25,129.55,79.41,2.15
506,Pangai,40,TO,1574713202,65,-19.8,-174.35,77.0,6.93
507,Isangel,87,VU,1574713203,78,-19.55,169.27,71.6,3.36
508,Rioja,4,PE,1574713204,87,-6.06,-77.17,75.38,1.5
509,Salym,69,RU,1574713205,97,60.06,71.48,1.04,5.79
510,Mareeba,75,AU,1574713206,88,-16.99,145.42,75.0,1.57
511,Olovyannaya,64,RU,1574713207,74,50.94,115.59,6.51,17.09
512,Honningsvag,75,NO,1574713208,80,70.98,25.97,33.8,4.7
513,Hay River,90,CA,1574713209,85,60.82,-115.79,14.0,4.7
514,Nabire,68,ID,1574713210,91,-3.36,135.5,69.42,2.19
515,Klyuchi,100,RU,1574713212,95,52.25,79.17,11.95,3.56
516,Catuday,67,PH,1574713213,77,16.29,119.81,80.31,15.64
517,Atar,0,MR,1574713214,28,20.52,-13.05,71.4,3.62
518,Camara de Lobos,75,PT,1574713215,72,32.63,-16.97,68.0,3.36
519,Upington,0,ZA,1574713216,13,-28.46,21.24,77.0,1.12
520,Naze,75,NG,1574713217,88,5.43,7.07,80.6,4.7
521,Rodotopion,91,GR,1574713218,100,39.71,20.73,45.0,2.24
522,Krasnoyarsk,5,RU,1574713219,83,56.01,92.87,-14.8,2.73
523,Ballina,90,IE,1574713220,100,54.11,-9.15,48.99,5.82
524,Saldanha,100,PT,1574713221,95,41.42,-6.55,48.94,5.28
525,Cockburn Town,0,TC,1574713223,63,21.46,-71.14,81.39,5.28
526,Bruntal,40,CZ,1574713224,100,49.99,17.46,48.0,1.12
527,Saint-Augustin,75,CA,1574713225,87,45.63,-73.98,43.0,5.82
528,Mpulungu,94,ZM,1574713226,93,-8.77,31.12,61.43,1.54
529,Kruisfontein,40,ZA,1574713227,93,-34.0,24.73,58.96,10.92
530,Kontagora,0,NG,1574713228,30,10.4,5.47,80.19,3.2
531,Nuevitas,20,CU,1574713229,48,21.55,-77.27,84.2,3.36
532,Aranos,0,NA,1574713230,8,-24.14,19.11,79.3,13.11
533,Jinchang,38,CN,1574713231,49,38.52,102.19,23.22,2.1
534,Cadillac,1,US,1574713088,70,44.25,-85.4,50.0,6.93
535,Narsaq,5,GL,1574713233,49,60.91,-46.05,24.8,3.36
536,Guadalupe y Calvo,92,MX,1574713234,42,26.09,-106.96,61.34,9.42
537,Arroio do Meio,94,BR,1574713235,58,-29.4,-51.94,82.99,1.99
538,Dakoro,11,NE,1574713236,14,14.51,6.76,83.34,8.86
539,Vallenar,0,CL,1574713238,36,-28.58,-70.76,73.6,8.28
540,Victoria Point,83,AU,1574713239,82,-27.58,153.3,77.0,3.36
541,Saint-Francois,90,FR,1574713240,81,46.42,3.91,48.2,2.24
542,Maua,100,KE,1574713241,93,0.23,37.94,66.87,4.61
543,Picton,32,AU,1574713219,93,-34.17,150.61,75.0,8.05
544,Yar-Sale,100,RU,1574713243,90,66.83,70.83,12.54,15.79
545,Mustang,0,US,1574713073,51,35.38,-97.72,66.0,8.05
546,Ornskoldsvik,90,SE,1574713233,93,63.29,18.72,32.0,3.36
547,Grand Gaube,75,MU,1574713246,88,-20.01,57.66,78.01,6.93
548,Varhaug,75,NO,1574713247,87,58.61,5.65,46.0,2.24
549,Acari,91,BR,1574713248,50,-6.44,-36.64,83.98,17.09
550,Kahului,1,US,1574713249,54,20.89,-156.47,82.4,6.93
551,Omboue,100,GA,1574713250,95,-1.57,9.26,75.79,2.57
552,Pakxan,0,LA,1574713251,82,18.39,103.66,62.71,5.06
553,Scarborough,100,GB,1574713253,93,54.28,-0.41,51.01,5.82
554,Salalah,75,OM,1574713254,69,17.01,54.1,80.6,12.75
555,Paamiut,0,GL,1574713255,48,61.99,-49.67,33.15,7.81
556,Bonavista,100,CA,1574713256,85,48.65,-53.11,37.0,8.01
557,Christchurch,37,NZ,1574713257,82,-43.53,172.64,63.0,11.41
558,Launceston,90,AU,1574713228,93,-41.43,147.14,54.0,1.12
559,Hovd,100,NO,1574713259,100,63.83,10.7,41.0,2.24
560,Berezovka,23,RU,1574713260,36,55.71,42.61,22.05,5.1
561,Zyryanskoye,57,RU,1574713261,98,56.83,86.62,-2.49,2.77
562,Subiaco,0,AU,1574713262,45,-31.95,115.83,64.4,9.17
563,Nantong,32,CN,1574713263,78,31.98,120.89,43.0,1.01
564,Tartagal,20,AR,1574713264,63,-22.52,-63.8,93.2,9.17
565,Svetlogorsk,90,RU,1574713265,85,53.14,59.15,10.4,2.24
566,Buala,99,SB,1574713266,76,-8.15,159.59,80.6,2.51
567,Yenagoa,100,NG,1574713268,93,4.92,6.26,76.44,4.68
568,Port-Cartier,90,CA,1574713269,92,50.03,-66.88,33.01,5.82
569,Panguna,63,PG,1574713270,89,-6.32,155.48,72.16,3.02
570,Champerico,20,MX,1574713271,54,16.38,-93.6,84.2,4.7
571,Izvoarele,98,RO,1574713272,82,45.55,27.77,42.67,9.01
572,Lufilufi,40,WS,1574713273,79,-13.87,-171.6,84.2,3.36
573,Monroe,1,US,1574713102,58,41.91,-83.4,55.4,8.05
574,Empangeni,0,ZA,1574713275,75,-28.75,31.9,71.22,4.36
575,Roseville,40,US,1574713205,70,42.5,-82.94,50.0,6.93
